Time,Python,Rust
0,11.9,8.7
0.5,39.0,34.2
1,62.7,54.2
1.5,73.2,67.7
2,79.1,77.6
2.5,82.9,84.7
3,85.5,90.6
3.5,87.4,95.2
4,88.9,99.0
4.5,90.0,102
5,90.9,105
5.5,91.7,107
6,92.4,109
6.5,92.9,111
7,93.4,112
7.5,93.8,114
8,94.2,115
8.5,94.5,116
9,94.8,117
9.5,95.1,118
10,95.3,119
10.5,95.5,120
11,95.7,120
11.5,95.9,117
12,96.1,113
12.5,96.2,109
13,96.3,105
13.5,96.5,101
14,96.6,98.5
14.5,96.7,95.4
15,96.8,92.5
15.5,96.9,89.8
16,97.0,87.2
16.5,97.0,84.8
17,97.1,82.5
17.5,97.2,80.4
18,97.3,78.3
18.5,97.4,76.3
19,97.4,74.5
19.5,97.5,72.7
20,97.5,71.0
20.5,97.6,69.4
21,97.6,67.9
21.5,97.7,66.4
22,97.7,65.0
22.5,97.8,63.6
23,97.8,62.3
23.5,97.9,61.1
24,97.9,59.9
24.5,98.0,58.7
25,98.0,57.6
25.5,98.0,56.6
26,98.1,55.5
26.5,98.1,54.5
27,98.1,53.6
27.5,98.2,52.7
28,98.2,51.8
28.5,98.2,50.9
29,98.2,50.1
29.5,98.3,49.3
30,98.3,48.5
30.5,98.3,47.7
31,98.3,47.0
31.5,98.4,46.3
32,98.4,45.6
32.5,98.4,44.9
33,98.4,44.3
33.5,98.5,43.6
34,98.5,43.0
34.5,98.5,42.4
35,98.5,41.8
35.5,98.5,41.3
36,98.6,40.7
36.5,98.6,40.2
37,98.6,39.7
37.5,98.6,39.2
38,98.6,38.7
38.5,98.6,38.2
39,97.8,37.7
39.5,96.6,37.2
40,95.4,36.8
40.5,94.2,36.4
41,93.1,35.9
41.5,92.0,35.5
42,90.9,35.1
42.5,89.8,34.7
43,88.8,34.3
43.5,87.8,33.9
44,86.8,33.6
44.5,85.8,33.2
45,84.9,32.8
45.5,83.9,32.5
46,83.0,32.1
46.5,82.1,31.8
47,81.3,31.5
47.5,80.4,31.2
48,79.6,30.8
48.5,78.8,30.5
49,78.0,30.2
49.5,77.2,29.9
50,76.4,29.6
50.5,75.7,29.4
51,74.9,29.1
51.5,74.2,28.8
52,73.5,28.5
52.5,72.8,28.3
53,72.1,28.0
53.5,71.5,27.8
54,70.8,27.5
54.5,70.1,27.3
55,69.5,27.0
55.5,68.9,26.8
56,68.3,26.6
56.5,67.7,26.3
57,67.1,26.1
57.5,66.5,25.9
58,65.9,25.7
58.5,65.4,25.4
59,64.8,25.2
59.5,64.3,25.0
60,63.7,24.8
60.5,63.2,24.6
61,62.7,24.4
61.5,62.2,24.2
62,61.7,24.0
62.5,61.2,23.8
